"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 01 13:17:57 UTC 2023","Sat Apr 01 13:17:57 UTC 2023","88","","Pesquisa clima por longitude e latitude","","","","successfully",""
"passed","Sat Apr 01 13:17:57 UTC 2023","Sat Apr 01 13:17:57 UTC 2023","115","","Pesquisa clima por ZipCode","","","","successfully",""
"passed","Sat Apr 01 13:17:56 UTC 2023","Sat Apr 01 13:17:57 UTC 2023","297","","Pesquisa clima por cidade","","","","successfully",""
"passed","Sat Apr 01 13:17:57 UTC 2023","Sat Apr 01 13:17:57 UTC 2023","94","","Pesquisa clima por ID","","","","successfully",""
